127.0.0.1 - - [22/Apr/2024:11:17:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 22080
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/css/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/user.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/cart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/couch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/cross.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/js/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/product-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/truck.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/return.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/bag.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/support.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/why-choose-us-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/img-grid-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/person-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/post-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/img-grid-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/img-grid-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/post-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/post-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/envelope-outline.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/sofa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/dots-yellow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/dots-green.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:17:44 +0530] "GET /Project_Demo/images/dots-light.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:18:55 +0530] "GET /Project_Demo/cart.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:19:21 +0530] "GET /Project_Demo/checkout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:20:24 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 22080
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:20:26 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 22080
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:20:27 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 22080
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:20:33 +0530] "GET /Project_Demo/shop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:21:26 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 22080
