127.0.0.1 - - [04/May/2024:13:35:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 21824
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/css/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/user.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/cart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/couch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/cross.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/js/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/product-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/product-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/truck.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/bag.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/support.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/dots-light.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/return.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/why-choose-us-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/img-grid-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/img-grid-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/img-grid-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/person-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/post-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/post-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/post-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/envelope-outline.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/dots-yellow.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:35:38 +0530] "GET /Project_Demo/images/dots-green.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:40 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 21824
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:52 +0530] "GET /Project_Demo/login.jsp HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "POST /Project_Demo/Customercontroller HTTP/1.1" 200 17593
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/shirt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/sofa.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/bed.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/chair.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/product-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:36:57 +0530] "GET /Project_Demo/image/couch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2024:13:37:13 +0530] "GET /Project_Demo/wishlist.jsp HTTP/1.1" 200 17293
0:0:0:0:0:0:0:1 - - [04/May/2024:13:38:27 +0530] "GET /Project_Demo/wishlist.jsp HTTP/1.1" 200 17299
0:0:0:0:0:0:0:1 - - [04/May/2024:13:38:30 +0530] "GET /Project_Demo/shop.jsp HTTP/1.1" 200 17593
0:0:0:0:0:0:0:1 - - [04/May/2024:13:39:38 +0530] "GET /Project_Demo/wishlist.jsp HTTP/1.1" 200 17298
